Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,High Score,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
2650000,0.02291844,10260.0,0.11189243,11.200000204145908,11.200000204145908,None,0.00092930405,0.06701199,0.0002841298,1.0
2660000,0.026666677,32251.0,0.10901406,37.600000597536564,37.600000597536564,None,0.0009732934,0.060125053,0.0002840667,1.0
2670000,0.028266689,1897.0,0.11243878,1.3000000566244125,1.3000000566244125,None,0.0012006207,0.06894022,0.0002840096,1.0
2680000,0.030899411,5294.0,0.106665,4.900000110268593,4.900000110268593,None,5.5820972e-05,0.069286235,0.0002839524,1.0
2690000,0.026919553,None,0.10778651,None,None,None,0.00092772825,0.065014996,0.00028388912,1.0
2700000,0.027271345,None,0.11249423,None,None,None,6.296944e-05,0.06490241,0.00028382576,1.0
2710000,0.02746853,18750.0,0.11506306,22.20000034570694,22.20000034570694,None,0.0013092103,0.06906769,0.00028376846,1.0
2720000,0.028341146,None,0.1137777,None,None,None,5.239417e-05,0.07090233,0.00028371095,1.0
2730000,0.027626507,None,0.11517412,None,None,None,6.59793e-05,0.06903975,0.0002836476,1.0
2740000,0.027118959,None,0.119516715,None,None,None,5.645395e-05,0.06590523,0.00028359058,1.0
2750000,0.027880585,19211.5,0.10849583,21.850000362843275,21.850000362843275,None,0.0018036424,0.06547737,0.00028353324,1.0
2760000,0.025599584,15086.5,0.11535685,17.125000270083547,17.125000270083547,None,0.00037550583,0.06257366,0.00028346942,1.0
2770000,0.027279329,None,0.10658537,None,None,None,0.001899123,0.06383323,0.00028340632,1.0
2780000,0.02869037,None,0.1118478,None,None,None,6.2752944e-05,0.068803996,0.00028334925,1.0
2790000,0.025782565,None,0.113863796,None,None,None,5.82382e-05,0.067570336,0.00028329203,1.0
2800000,0.029214613,2882.5,0.11035314,2.40000007301569,2.40000007301569,None,0.0018539944,0.06748672,0.00028322864,1.0
2810000,0.02916761,None,0.105831034,None,None,None,4.7660527e-05,0.06909216,0.00028316551,1.0
2820000,0.026663417,None,0.11321938,None,None,None,5.770394e-05,0.065708734,0.0002831081,1.0
2830000,0.028588079,None,0.11781248,None,None,None,6.2710475e-05,0.071529895,0.00028305105,1.0
2840000,0.025719607,11203.0,0.119417936,12.300000220537186,12.300000220537186,None,0.000437541,0.07501427,0.00028298804,1.0
2850000,0.02688454,6556.0,0.11493546,6.900000140070915,6.900000140070915,None,0.0011096807,0.06830153,0.00028293073,1.0
2860000,0.02964217,None,0.112315305,None,None,None,6.104835e-05,0.07299521,0.00028287384,1.0
2870000,0.02848421,26779.0,0.11586767,31.200000502169132,31.200000502169132,None,0.0009509529,0.06962809,0.00028281013,1.0
2880000,0.027153268,7520.0,0.110090636,7.80000015348196,7.80000015348196,None,0.0009533634,0.06466771,0.0002827469,1.0
2890000,0.027678952,7686.75,0.10281254,8.40000014565885,8.40000014565885,None,0.0044378606,0.067950785,0.0002826901,1.0
2900000,0.028975064,None,0.10657032,None,None,None,7.946621e-05,0.06541305,0.0002826333,1.0
2910000,0.029432481,9334.0,0.11518602,10.100000187754631,10.100000187754631,None,5.14803e-05,0.06488274,0.00028256993,1.0
2920000,0.027042603,2164.0,0.10504758,1.3000000342726707,1.3000000342726707,None,0.0021959888,0.065540105,0.00028250666,1.0
2930000,0.028002787,13386.0,0.10437957,15.200000263750553,15.200000263750553,None,0.0009171988,0.0721199,0.00028245,1.0
2940000,0.027890613,10786.0,0.106528364,12.100000195205212,12.100000195205212,None,0.0011004267,0.06683724,0.00028239307,1.0
2950000,0.029748553,None,0.11079617,None,None,None,5.5997185e-05,0.068102695,0.0002823296,1.0
2960000,0.029168041,7115.0,0.111679584,7.300000123679638,7.300000123679638,None,0.00088375935,0.07168617,0.00028226577,1.0
2970000,0.027049294,33058.0,0.11056505,38.1000005826354,38.1000005826354,None,0.0013635036,0.06955224,0.00028220884,1.0
2980000,0.030189747,10888.0,0.11091481,12.100000217556953,12.100000217556953,538.0,0.00065349584,0.063344866,0.00028215162,1.0
2990000,0.026271231,None,0.11682846,None,None,547.0,5.6406174e-05,0.07267285,0.0002820883,1.0
3000000,0.027972184,45221.0,0.11553579,54.100000843405724,54.100000843405724,551.0,0.0012155562,0.066811964,0.00028203134,1.0
3010000,0.028058017,31273.0,0.10980793,36.500000558793545,36.500000558793545,None,0.0010795781,0.07229058,0.00028197392,1.0
3020000,0.027218388,23323.0,0.112673715,26.500000432133675,26.500000432133675,None,0.000916507,0.07046531,0.00028190986,1.0
